Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary.y
Wilfredo Tovar,12,NA,-0.0518101714551449,-0.1,NA,NA
Ryan Hartman,NA,2.1,-0.0520315431058407,-0.1,NA,NA
AJ Alexy,NA,23,-0.0538238249719143,-0.1,NA,NA
Luis Frias,NA,3.1,-0.0539380759000778,-0.1,NA,NA
Asher Wojciechowski,NA,4,-0.0559451393783092,-0.1,NA,NA
Jimmy Lambert,NA,13,-0.0564435347914696,-0.1,NA,NA
Aaron Fletcher,NA,3.2,-0.0567783191800117,-0.1,NA,NA
Jorge Guzman,NA,1.2,-0.0590927414596081,-0.1,NA,NA
Kyle Tyler,NA,12.1,-0.0594231225550175,-0.1,NA,NA
Taylor Trammell,178,NA,-0.0597806125879288,-0.1,NA,NA
Adrian Sanchez,38,NA,-0.0600068680942059,-0.1,NA,NA
Ty Tice,NA,8,-0.0602444354444742,-0.1,NA,NA
Travis Lakins Sr.,NA,28,-0.061224639415741,-0.1,NA,NA
Yohel Pozo,77,NA,-0.0615803562104702,-0.1,NA,NA
Jandel Gustave,NA,18.1,-0.0388102903962135,-0.1,NA,NA
Kevin Padlo,15,NA,-0.0619089063256979,-0.1,NA,NA
Mike Kickham,NA,2,-0.0635972321033478,-0.1,NA,NA
Ramon Rosso,NA,8,-0.0528924316167831,-0.1,NA,NA
Colin Rea,NA,6,-0.0415547080338001,-0.1,NA,NA
Sam Clay,NA,45,-0.0424186773598194,-0.1,NA,NA
Braden Bishop,5,NA,-0.0659642592072487,-0.1,NA,NA
Eric Hanhold,NA,10.1,-0.066993311047554,-0.1,NA,NA
Taylor Jones,108,NA,-0.0695319920778275,-0.1,NA,NA
Trey Amburgey,4,NA,-0.071853332221508,-0.1,NA,NA
Hunter Owen,5,NA,-0.072830505669117,-0.1,NA,NA
Jared Hoying,3,NA,-0.0729826986789703,-0.1,NA,NA
Cody Poteet,NA,30.2,-0.0376875214278698,-0.1,NA,NA
Geoff Hartlieb,NA,9,-0.0766735021024942,-0.1,NA,NA
